source,source_url,id,name,kind,deal,price_basis,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,area_min_m2,area_max_m2,notes
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0651,"Office property — Düsseldorf, Rath (D0651)",office,lease,LISTED,Rath,40472,Düsseldorf,Nordrhein-Westfalen,11.9,11.9,355,6552,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D3263,"Office property — Düsseldorf, Lichtenbroich (D3263)",office,lease,LISTED,Lichtenbroich,40468,Düsseldorf,Nordrhein-Westfalen,14,14,1856,11710,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D3283,"Office property — Düsseldorf, Lichtenbroich (D3283)",office,lease,LISTED,Lichtenbroich,40472,Düsseldorf,Nordrhein-Westfalen,12.5,12.5,427,1073,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D1428,"Office property — Düsseldorf, Flingern Nord (D1428)",office,lease,LISTED,Flingern Nord,40237,Düsseldorf,Nordrhein-Westfalen,13,13,275,1239,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0890,"Office property — Düsseldorf, Unterrath (D0890)",office,lease,LISTED,Unterrath,40472,Düsseldorf,Nordrhein-Westfalen,13.5,13.5,419,2541,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D1743,"Office property — Düsseldorf, Unterrath (D1743)",office,lease,LISTED,Unterrath,40468,Düsseldorf,Nordrhein-Westfalen,12.5,15,473,4217,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0502,"Office property — Düsseldorf, Lörick (D0502)",office,lease,LISTED,Lörick,40547,Düsseldorf,Nordrhein-Westfalen,12.5,12.5,357,5709,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D3304,"Office property — Düsseldorf, Heerdt (D3304)",office,lease,LISTED,Heerdt,40549,Düsseldorf,Nordrhein-Westfalen,15,15,246,3094,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0087,"Office property — Düsseldorf, Lörick (D0087)",office,lease,LISTED,Lörick,40547,Düsseldorf,Nordrhein-Westfalen,13.5,13.5,337,1145,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D3236,"Office property — Düsseldorf, Holthausen (D3236)",office,lease,LISTED,Holthausen,40589,Düsseldorf,Nordrhein-Westfalen,10.77,10.77,77,1665,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0657,"Office property — Düsseldorf, Benrath (D0657)",office,lease,LISTED,Benrath,40597,Düsseldorf,Nordrhein-Westfalen,10,10,133,1545,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0700,"Office property — Düsseldorf, Lichtenbroich (D0700)",office,lease,LISTED,Lichtenbroich,40472,Düsseldorf,Nordrhein-Westfalen,12.95,12.95,296,2702,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0886,"Office property — Düsseldorf, Lörick (D0886)",office,lease,LISTED,Lörick,40547,Düsseldorf,Nordrhein-Westfalen,14.75,14.75,329,2446,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0663,"Office property — Düsseldorf, Lichtenbroich (D0663)",office,lease,LISTED,Lichtenbroich,40472,Düsseldorf,Nordrhein-Westfalen,12.5,12.5,314,1334,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0672,"Office property — Düsseldorf, Mörsenbroich (D0672)",office,lease,LISTED,Mörsenbroich,40470,Düsseldorf,Nordrhein-Westfalen,10.5,12,206,3838,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0705,"Office property — Düsseldorf, Flingern Nord (D0705)",office,lease,LISTED,Flingern Nord,40237,Düsseldorf,Nordrhein-Westfalen,13.5,13.5,510,1564,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D3445,"Office property — Düsseldorf, Lichtenbroich (D3445)",office,lease,LISTED,Lichtenbroich,40472,Düsseldorf,Nordrhein-Westfalen,12.5,12.5,317,1654,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D1239,"Office property — Düsseldorf, Heerdt (D1239)",office,lease,LISTED,Heerdt,40549,Düsseldorf,Nordrhein-Westfalen,8.88,10,128,2450,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D1702,"Office property — Düsseldorf, Düsseltal (D1702)",office,lease,LISTED,Düsseltal,40470,Düsseldorf,Nordrhein-Westfalen,13.5,13.5,598,1196,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0447,"Office property — Düsseldorf, Unterrath (D0447)",office,lease,LISTED,Unterrath,40472,Düsseldorf,Nordrhein-Westfalen,14.5,14.5,620,1466,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D3264,"Office property — Düsseldorf, Rath (D3264)",office,lease,LISTED,Rath,40472,Düsseldorf,Nordrhein-Westfalen,10,10,390,1567,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0824,"Office property — Düsseldorf, Lörick (D0824)",office,lease,LISTED,Lörick,40547,Düsseldorf,Nordrhein-Westfalen,10.5,13.5,440,7965,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0096,"Office property — Düsseldorf, City center (D0096)",office,lease,LISTED,City center,40211,Düsseldorf,Nordrhein-Westfalen,14,14,452,6284,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0494,"Office property — Düsseldorf, Heerdt (D0494)",office,lease,LISTED,Heerdt,40549,Düsseldorf,Nordrhein-Westfalen,12.9,12.9,258,1417,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0159,"Office property — Düsseldorf, Mörsenbroich (D0159)",office,lease,LISTED,Mörsenbroich,40470,Düsseldorf,Nordrhein-Westfalen,10.9,10.9,100,4516,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0195,"Office property — Düsseldorf, Unterrath (D0195)",office,lease,LISTED,Unterrath,40468,Düsseldorf,Nordrhein-Westfalen,8.5,13.5,360,10847,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0540,"Office property — Düsseldorf, Lichtenbroich (D0540)",office,lease,LISTED,Lichtenbroich,40472,Düsseldorf,Nordrhein-Westfalen,10,11,120,2804,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0655,"Office property — Düsseldorf, Holthausen (D0655)",office,lease,LISTED,Holthausen,40589,Düsseldorf,Nordrhein-Westfalen,11.8,15,130,2727,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0825,"Office property — Düsseldorf, Lörick (D0825)",office,lease,LISTED,Lörick,40547,Düsseldorf,Nordrhein-Westfalen,12,12,169,2256,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D2198,"Office property — Düsseldorf, Heerdt (D2198)",office,lease,LISTED,Heerdt,40549,Düsseldorf,Nordrhein-Westfalen,6.7,14,149,2361,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D2492,"Office property — Düsseldorf, Lichtenbroich (D2492)",office,lease,LISTED,Lichtenbroich,40472,Düsseldorf,Nordrhein-Westfalen,6.5,6.5,176,5965,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D1339,"Office property — Düsseldorf, Hassels (D1339)",office,lease,LISTED,Hassels,40599,Düsseldorf,Nordrhein-Westfalen,11,11.5,377,1725,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0506,"Office property — Düsseldorf, Lörick (D0506)",office,lease,LISTED,Lörick,40547,Düsseldorf,Nordrhein-Westfalen,9.9,14,393,3196,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D3333,"Office property — Düsseldorf, Lierenfeld (D3333)",office,lease,LISTED,Lierenfeld,40231,Düsseldorf,Nordrhein-Westfalen,15,15,320,2240,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D2216,"Office property — Düsseldorf, Mörsenbroich (D2216)",office,lease,LISTED,Mörsenbroich,40470,Düsseldorf,Nordrhein-Westfalen,10.5,14.5,85,4965,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0168,"Office property — Düsseldorf, Golzheim (D0168)",office,lease,LISTED,Golzheim,40474,Düsseldorf,Nordrhein-Westfalen,14.5,14.5,416,4294,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0507,"Office property — Düsseldorf, Heerdt (D0507)",office,lease,LISTED,Heerdt,40549,Düsseldorf,Nordrhein-Westfalen,12.5,12.5,165,1867,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D3311,"Office property — Düsseldorf, Unterrath (D3311)",office,lease,LISTED,Unterrath,40468,Düsseldorf,Nordrhein-Westfalen,14.5,14.5,500,1500,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0448,"Office property — Düsseldorf, Unterrath (D0448)",office,lease,LISTED,Unterrath,40468,Düsseldorf,Nordrhein-Westfalen,13.5,13.5,560,6243,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0674,"Office property — Düsseldorf, Rath (D0674)",office,lease,LISTED,Rath,40472,Düsseldorf,Nordrhein-Westfalen,13.5,14.5,373,4404,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D1627,"Office property — Düsseldorf, Düsseltal (D1627)",office,lease,LISTED,Düsseltal,40237,Düsseldorf,Nordrhein-Westfalen,14,14,236,1337,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0151,"Office property — Düsseldorf, Flingern Nord (D0151)",office,lease,LISTED,Flingern Nord,40237,Düsseldorf,Nordrhein-Westfalen,13,14.9,207,3173,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0446,"Office property — Düsseldorf, Lichtenbroich (D0446)",office,lease,LISTED,Lichtenbroich,40472,Düsseldorf,Nordrhein-Westfalen,10.5,11.5,591,5867,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0067,"Office property — Düsseldorf, Friedrichstadt (D0067)",office,lease,LISTED,Friedrichstadt,40210,Düsseldorf,Nordrhein-Westfalen,13.5,14,340,2050,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D3342,"Office property — Düsseldorf, Reisholz (D3342)",office,lease,LISTED,Reisholz,40599,Düsseldorf,Nordrhein-Westfalen,13,13,379,1138,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0173,"Office property — Düsseldorf, Rath (D0173)",office,lease,LISTED,Rath,40472,Düsseldorf,Nordrhein-Westfalen,12.5,12.5,470,2538,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D1613,"Office property — Düsseldorf, Derendorf (D1613)",office,lease,LISTED,Derendorf,40476,Düsseldorf,Nordrhein-Westfalen,12,12,390,1055,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D3305,"Office property — Düsseldorf, Golzheim (D3305)",office,lease,LISTED,Golzheim,40476,Düsseldorf,Nordrhein-Westfalen,11.5,12.5,1740,1740,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
